trend_strength_value,trend_strength_ewma,trend_strength_double_ewma,trend_strength_double_ewma_slope,trend_strength_d2_ewma,build_up_in_progress,reduction_in_progress,build_up_step_size,reduction_step_size,position_multiplier,position_side,target_position
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
-1,0.0,0.0,0.0,0.0,False,False,1.0,1.0,0,0,0.0
